t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
3.9601,0.053448,0.053484,-0.036,-0.01200,-0.04139,-0.01313,-0.01162
3.9801,0.053200,0.053226,-0.025,-0.01275,-0.03359,-0.01353,-0.01993
4.0001,0.052939,0.052961,-0.022,-0.01334,-0.02444,-0.01409,-0.02817
4.0201,0.052668,0.052690,-0.022,-0.01372,-0.01417,-0.01450,-0.02025
4.0401,0.052391,0.052402,-0.011,-0.01390,-0.00309,-0.01416,0.01705
4.0601,0.052114,0.052109,0.005,-0.01384,0.00848,-0.01346,0.03481
4.0801,0.051839,0.051831,0.008,-0.01356,0.02018,-0.01324,0.01128
4.1001,0.051573,0.051563,0.010,-0.01304,0.03164,-0.01264,0.02979
4.1201,0.051319,0.051300,0.019,-0.01230,0.04251,-0.01151,0.05634
4.1401,0.051082,0.051052,0.031,-0.01135,0.05241,-0.01009,0.07127
4.1601,0.050867,0.050830,0.036,-0.01021,0.06104,-0.00882,0.06316
4.1801,0.050675,0.050630,0.045,-0.00891,0.06809,-0.00717,0.08275
4.2001,0.050511,0.050460,0.051,-0.00750,0.07333,-0.00558,0.07963
4.2201,0.050376,0.050322,0.053,-0.00599,0.07657,-0.00405,0.07656
4.2401,0.050271,0.050217,0.054,-0.00445,0.07769,-0.00250,0.07755
4.2601,0.050198,0.050144,0.054,-0.00290,0.07664,-0.00096,0.07677
4.2801,0.050155,0.050105,0.050,-0.00140,0.07343,0.00036,0.06611
4.3001,0.050141,0.050092,0.049,0.00002,0.06814,0.00179,0.07116
4.3201,0.050155,0.050097,0.058,0.00132,0.06093,0.00350,0.08575
4.3401,0.050193,0.050124,0.069,0.00245,0.05202,0.00509,0.07955
4.3601,0.050252,0.050185,0.067,0.00339,0.04169,0.00577,0.03385
4.3801,0.050327,0.050279,0.048,0.00411,0.03022,0.00557,-0.00978
4.4001,0.050414,0.050391,0.024,0.00459,0.01800,0.00513,-0.02207
