scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
007/RH_Per_L_DtP,confidence_cop_v1,3581,3581,1.0,0,0.1,0.11364176967140906,-0.0008427121571290902,2.8487009192529333e-11,1.7216157397758785e-13,0.9999285679423328,0.002388558451899532,0.0024688159974175505,0,,
007/RH_Per_L_PtD,recorded_old,3549,3539,,0,0.1,0.1068032610872144,,,,0.9568613751125259,0.002793865144197768,0.003803753398824483,0,12,7.793058260801583e-05
007/RH_Per_L_PtD,confidence_angular_v1,3549,3549,1.0,0,0.1,0.10881569189039138,,1.7457374699991712e-11,2.2144057421069546e-13,0.9999999997886697,0.0023626156235813903,0.0024457762032398024,0,,
007/RH_Per_L_PtD,confidence_cop_v1,3549,3549,1.0,0,0.1,0.1088156913424657,,1.7457374699991712e-11,2.097013923370007e-13,0.9999999997886697,0.002364410269160166,0.0024472207995131614,0,,
007/RH_Per_S_DtP,recorded_old,3809,3800,,0,0.1,0.1147014839887674,0.0002817181864012012,,,0.9223196899483379,0.0030318862659911142,0.004182442199089564,0,10,0.05693969576298801
007/RH_Per_S_DtP,confidence_angular_v1,3809,3809,1.0,0,0.1,0.11927080609418872,-0.00033700935495340704,3.673338059239064e-11,1.4257822353314076e-13,0.9668069411896009,0.0023690897789548134,0.0024502551998011766,0,,
007/RH_Per_S_DtP,confidence_cop_v1,3809,3809,1.0,0,0.1,0.11924166389300132,-0.0003191121360801083,3.673338059239064e-11,1.5007193798454108e-13,0.9668069411896009,0.0023680764956708457,0.002450661397597287,0,,
007/RH_Per_S_PtD,recorded_old,3782,3775,,0,0.1,0.1157784628162981,0.00255913426235084,,,0.9414389763394789,0.0029809160370156736,0.0041281906491349215,0,7,0.015072477893374169
007/RH_Per_S_PtD,confidence_angular_v1,3782,3782,1.0,0,0.1,0.11106628807069603,0.0016533894447444241,4.179571990153144e-11,2.651221690103119e-13,0.9811708998051191,0.002366103200721467,0.0024473448040225774,0,,
007/RH_Per_S_PtD,confidence_cop_v1,3782,3782,1.0,0,0.1,0.11104192640749179,0.0016875868378935885,4.179571990153144e-11,2.4219649932763915e-13,0.9811708998051191,0.002366169034138102,0.0024464652025926624,0,,
