scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
jiaqi/LH_Per_S_DtP,recorded_old,4334,4333,,0,0.1,0.14999980891868278,0.0004080237920318753,,,0.9529641197755863,0.002470556361051974,0.0033231016474019235,0,1,0.017952551958297282
jiaqi/LH_Per_S_DtP,confidence_angular_v1,4334,4334,1.0,0,0.1,0.14998154515871398,4.0180203155214295e-05,1.3234889800848443e-23,0.0,0.996388661781655,0.0017948630414869051,0.0018166830519476206,0,,
jiaqi/LH_Per_S_DtP,confidence_cop_v1,4334,4334,1.0,0,0.1,0.14994043105186236,4.532285669626551e-05,1.3234889800848443e-23,1.0512758604619181e-19,0.996388661781655,0.0017957979441868954,0.0018174149499827763,0,,
jiaqi/LH_Per_S_PtD,recorded_old,4809,4808,,0,0.09834983597099613,0.10112897479073693,0.0013823236358639604,,,0.8530179366820361,0.0025621169524439047,0.0033819931966718284,0,1,0.03678798398334162
jiaqi/LH_Per_S_PtD,confidence_angular_v1,4809,4809,1.0,0,0.1,0.10645281091277821,0.0011253999100180809,5.293955920339377e-23,0.0,0.9147397299226193,0.001793917267410152,0.0018180724000558257,0,,
jiaqi/LH_Per_S_PtD,confidence_cop_v1,4809,4809,1.0,0,0.1,0.10646239260406083,0.0010658301834741784,5.293955920339377e-23,1.0842021724855044e-19,0.9147397299226193,0.0017958886097105913,0.001820320004480891,0,,
jiaqi/RH_Per_C_DtP,recorded_old,3949,3949,,0,0.09530090880282474,0.1024463308334033,-0.00017731651532847722,,,0.921553982566117,0.0027144420425963046,0.0036245129987946705,0,0,0.06422536253676352
jiaqi/RH_Per_C_DtP,confidence_angular_v1,3949,3949,1.0,0,0.1,0.1141478235431186,-0.0008832635869315202,2.168404344971009e-19,0.0,0.9732736809646769,0.0017937321812990306,0.001815608200558927,0,,
jiaqi/RH_Per_C_DtP,confidence_cop_v1,3949,3949,1.0,0,0.1,0.11413716216185263,-0.0008811071584648307,2.168404344971009e-19,1.3678176925091365e-19,0.9732736809646769,0.0017963599333695463,0.001817369995114859,0,,
jiaqi/RH_Per_C_PtD,recorded_old,4068,4067,,0,0.1,0.11121093505614303,0.0013817363356629917,,,0.861137930652687,0.0028519149191277844,0.003738922604679828,0,1,0.004595830409567101
jiaqi/RH_Per_C_PtD,confidence_angular_v1,4068,4068,1.0,0,0.1,0.11738021432479005,0.0012633217559116768,4.336808689942018e-19,0.0,0.9028612206091015,0.001794692012529683,0.0018174074961279985,0,,
jiaqi/RH_Per_C_PtD,confidence_cop_v1,4068,4068,1.0,0,0.1,0.11718502960888555,0.0012766598261723138,4.336808689942018e-19,1.4211941323229282e-19,0.9028612206091015,0.001798462406298017,0.0018193181531387381,0,,
jiaqi/RH_Per_L_DtP,recorded_old,3906,3904,,0,0.09957318090119889,0.100729144871028,-0.00020754080650358604,,,0.9474914706319476,0.0024247428499328595,0.0032873324998945463,0,1,0.013484690485118248
jiaqi/RH_Per_L_DtP,confidence_angular_v1,3906,3906,1.0,0,0.1,0.11092858504216875,-0.0005868996198697016,1.0587911840678754e-22,0.0,0.9985462279832906,0.001796391824940427,0.0018186535035056295,0,,
jiaqi/RH_Per_L_DtP,confidence_cop_v1,3906,3906,1.0,0,0.1,0.11092464821127633,-0.0005844754697361106,1.0587911840678754e-22,1.8373334150440717e-19,0.9985462279832906,0.0017989198166490441,0.0018208120036433684,0,,
jiaqi/RH_Per_L_PtD,recorded_old,3755,3754,,0,0.1,0.10993529367402385,0.0013489776534463746,,,0.9349241668232812,0.0026820055688170225,0.003563443500752328,0,1,0.002963550459364094
jiaqi/RH_Per_L_PtD,confidence_angular_v1,3755,3755,1.0,0,0.1,0.11218905573574062,0.001335392338384173,2.168404344971009e-19,0.0,0.9670306528587947,0.0017986726764464452,0.0018211715010693296,0,,
jiaqi/RH_Per_L_PtD,confidence_cop_v1,3755,3755,1.0,0,0.1,0.11212459304508074,0.0013439924934607282,2.168404344971009e-19,1.5881867761018131e-19,0.9670306528587947,0.001800713163450439,0.0018220310979813804,0,,
jiaqi/RH_Per_S_DtP,recorded_old,4335,4334,,0,0.08706635884317405,0.08971550462709373,-1.4122043929310115e-05,,,0.9093903283454435,0.002706311917622765,0.003607296694826801,0,1,0.19937112668582258
jiaqi/RH_Per_S_DtP,confidence_angular_v1,4335,4335,1.0,0,0.1,0.11284830773571036,-0.0006501766536983794,2.168404344971009e-19,0.0,0.9580466219632536,0.0017929403126360488,0.00183138519860222,0,,
